description,location_type_id,containing_location_id
Eduardo Llanos 33 - Bodega 8,1,
1,2,1
2,2,1
3,2,1
4,2,1
5,2,1
6,2,1
7,2,1
1-1,3,2
1-2,3,2
1-3,3,2
1-4,3,2
1-5,3,2
2-1,3,22
2-2,3,22
2-3,3,22
2-4,3,22
2-5,3,22
2-6,3,22
3-1,3,43
3-3,3,43
3-4,3,43
3-5,3,43
4-1,3,59
4-2,3,59
4-3,3,59
4-4,3,59
4-5,3,59
5-1,3,79
5-2,3,79
5-3,3,79
5-4,3,79
6-1,3,94
6-2,3,94
6-3,3,94
6-4,3,94
7-1,3,104
7-2,3,104
7-3,3,104
7-4,3,104
1-1-A,4,3
1-1-B,4,3
1-2-A,4,6
1-2-B,4,6
1-2-C,4,6
1-3-A,4,10
1-3-B,4,10
1-3-C,4,10
1-4-A,4,14
1-4-B,4,14
1-4-C,4,14
1-5-A,4,18
1-5-B,4,18
1-5-C,4,18
2-1-A,4,23
2-1-B,4,23
2-2-A,4,26
2-2-B,4,26
2-2-C,4,26
2-3-A,4,30
2-3-B,4,30
2-3-C,4,30
2-4-A,4,34
2-4-B,4,34
2-4-C,4,34
2-5-A,4,38
2-5-B,4,38
2-5-C,4,38
3-1-A,4,44
3-1-B,4,44
3-3-A,4,47
3-3-B,4,47
3-3-C,4,47
3-4-A,4,51
3-4-B,4,51
3-4-C,4,51
3-5-A,4,55
3-5-B,4,55
3-5-C,4,55
4-1-A,4,60
4-1-B,4,60
4-2-A,4,63
4-2-B,4,63
4-2-C,4,63
4-3-A,4,67
4-3-B,4,67
4-3-C,4,67
4-4-A,4,71
4-4-B,4,71
4-4-C,4,71
4-5-A,4,75
4-5-B,4,75
4-5-C,4,75
5-1-B,4,80
5-2-A,4,82
5-2-B,4,82
5-2-C,4,82
5-3-A,4,86
5-3-B,4,86
5-3-C,4,86
5-4-A,4,90
5-4-B,4,90
5-4-C,4,90
6-1-A,4,95
6-1-B,4,95
6-1-C,4,95
6-2-A,4,99
6-2-B,4,99
7-1-A,4,105
7-1-B,4,105
7-2-A,4,108
7-2-B,4,108
7-2-C,4,108
BUEN AMIGO-2,4,1
EXPO-2,4,1
KONG-26,4,1
MERCADOLIBRE,4,1